county,fips,state,lat,lng
Madison County,18095,Indiana,40.1617,-85.7194
Washington County,47179,Tennessee,36.2933,-82.4974
Sebastian County,5131,Arkansas,35.1988,-94.2743
Chautauqua County,36013,New York,42.2281,-79.3663
Kendall County,17093,Illinois,41.5906,-88.4288
Skagit County,53057,Washington,48.4793,-121.7305
Linn County,41043,Oregon,44.4887,-122.5344
Bossier Parish,22015,Louisiana,32.6784,-93.6049
Clarke County,13059,Georgia,33.9512,-83.3673
Cochise County,4003,Arizona,31.8795,-109.7512
Cache County,49005,Utah,41.7224,-111.7436
Washington County,44009,Rhode Island,41.4697,-71.6225
Berkshire County,25003,Massachusetts,42.3707,-73.2064
San Juan County,35045,New Mexico,36.5085,-108.3206
Pickens County,45077,South Carolina,34.8873,-82.7253
Hunterdon County,34019,New Jersey,40.5673,-74.9122
Ascension Parish,22005,Louisiana,30.2036,-90.9113
Faulkner County,5045,Arkansas,35.147,-92.332
Wayne County,37191,North Carolina,35.364,-78.004
Gregg County,48183,Texas,32.4805,-94.817
Blair County,42013,Pennsylvania,40.4811,-78.3484
Kennebec County,23011,Maine,44.4091,-69.7673
Comanche County,40031,Oklahoma,34.6621,-98.4717
Douglas County,20045,Kansas,38.8847,-95.2926
Richland County,39139,Ohio,40.7747,-82.5365
Saline County,5125,Arkansas,34.6467,-92.6766
Jasper County,29097,Missouri,37.2035,-94.3406
Morgan County,1103,Alabama,34.4535,-86.8529
Missoula County,30063,Montana,47.0365,-113.9237
Carroll County,13045,Georgia,33.5828,-85.0798
Tom Green County,48451,Texas,31.4044,-100.4622
Potter County,48375,Texas,35.4013,-101.8941
La Crosse County,55063,Wisconsin,43.9066,-91.1152
Oswego County,36075,New York,43.4269,-76.1413
Berkeley County,54003,West Virginia,39.4641,-78.0275
Clark County,18019,Indiana,38.4772,-85.7073
Allegan County,26005,Michigan,42.5913,-85.8884
Bonneville County,16019,Idaho,43.3877,-111.6148
Windham County,9015,Connecticut,41.83,-71.9874
Lowndes County,13185,Georgia,30.8338,-83.2677
Henderson County,37089,North Carolina,35.3363,-82.48
Wayne County,39169,Ohio,40.8289,-81.888
Sheboygan County,55117,Wisconsin,43.7212,-87.9454
Delaware County,18035,Indiana,40.2275,-85.3969
Calhoun County,1015,Alabama,33.7714,-85.826
Lycoming County,42081,Pennsylvania,41.3434,-77.0645
Fayette County,13113,Georgia,33.4139,-84.4943
St. Mary's County,24037,Maryland,38.3024,-76.6059
Flagler County,12035,Florida,29.4614,-81.3136
Pennington County,46103,South Dakota,44.0037,-102.8238
Jefferson County,36045,New York,44.0495,-75.9208
Gallatin County,30031,Montana,45.5404,-111.1704
Terrebonne Parish,22109,Louisiana,29.4148,-90.8663
Mercer County,42085,Pennsylvania,41.3022,-80.2577
Navajo County,4017,Arizona,35.3996,-110.3214
LaPorte County,18091,Indiana,41.546,-86.74
Douglas County,41019,Oregon,43.2797,-123.1665
Kankakee County,17091,Illinois,41.1377,-87.8618
